Application,TestCase,Approach,StartTime,EndTime,DurationSeconds
MediaWiki,SearchPageTest,Manual,2025-06-08 17:20:40,2025-06-08 17:20:42,1
MediaWiki,CreateEmptyUser_Fails,Manual,2025-06-08 17:20:43,2025-06-08 17:20:48,4
MediaWiki,CreateUserTest,Manual,2025-06-08 17:20:49,2025-06-08 17:20:56,6
ExpressCart,AddProductTest,AI-Assisted,2025-06-28 21:13:11,2025-06-28 21:13:12,1
ExpressCart,AddProductTest,AI-Assisted,2025-09-18 12:36:29,2025-09-18 12:36:41,11
ExpressCart,SearchProductTest,AI-Assisted,2025-09-18 12:48:50,2025-09-18 12:48:53,2
ExpressCart,AddNewProdToCartTest,AI-Assisted,2025-09-18 12:48:56,2025-09-18 12:49:00,4
ExpressCart,AddProductTest,AI-Assisted,2025-09-18 12:49:03,2025-09-18 12:49:11,7
ExpressCart,AddEmptyProductTest,AI-Assisted,2025-09-18 12:49:13,2025-09-18 12:49:18,5
ExpressCart,AddEmptyReviewTest,AI-Assisted,2025-09-18 12:49:21,2025-09-18 12:49:29,7
ExpressCart,AddReviewTest,AI-Assisted,2025-09-18 12:49:31,2025-09-18 12:49:45,13
ExpressCart,AddUserTest,AI-Assisted,2025-09-18 12:49:47,2025-09-18 12:49:55,7
ExpressCart,LoginUserTest,AI-Assisted,2025-09-18 12:49:58,2025-09-18 12:50:02,4
ExpressCart,AddEmptyUserTest,AI-Assisted,2025-09-18 12:50:05,2025-09-18 12:50:10,5
ExpressCart,AddExistingUserFailsTest,AI-Assisted,2025-09-18 12:50:12,2025-09-18 12:50:20,7
MediaWiki,CreatePageTest,Manual,2025-09-21 11:21:17,2025-09-21 11:21:18,0
MediaWiki,CreateAndLinkPageTest,Manual,2025-09-21 11:21:21,2025-09-21 11:21:21,0
MediaWiki,EditPageTest,Manual,2025-09-21 11:21:24,2025-09-21 11:21:24,0
MediaWiki,CreateTemplateTest,Manual,2025-09-21 11:21:26,2025-09-21 11:21:27,0
MediaWiki,CreatePageFromSourceTest,Manual,2025-09-21 11:21:29,2025-09-21 11:21:30,0
MediaWiki,ApplyTemplateTest,Manual,2025-09-21 11:21:33,2025-09-21 11:21:33,0
MediaWiki,AddCategoryTest,Manual,2025-09-21 11:21:35,2025-09-21 11:21:36,0
MediaWiki,CreateEmptyUser_Fails,Manual,2025-09-21 11:21:39,2025-09-21 11:21:39,0
MediaWiki,CreateUserTest,Manual,2025-09-21 11:21:42,2025-09-21 11:21:42,0
MediaWiki,SearchPageTest,Manual,2025-09-21 11:21:45,2025-09-21 11:21:46,0
Joomla,AddNewArticle,Manual,2025-09-21 11:21:48,2025-09-21 11:21:57,8
Joomla,AddEmptyArticle,Manual,2025-09-21 11:21:59,2025-09-21 11:22:06,6
Joomla,EditArticle,Manual,2025-09-21 11:22:08,2025-09-21 11:22:16,8
Joomla,BadSiteAdminLogin,Manual,2025-09-21 11:22:18,2025-09-21 11:22:32,13
Joomla,AdminLoginTest,Manual,2025-09-21 11:22:34,2025-09-21 11:22:38,4
Joomla,EmptySiteAdminLogin,Manual,2025-09-21 11:22:41,2025-09-21 11:22:52,11
Joomla,EmptyLogin,Manual,2025-09-21 11:22:55,2025-09-21 11:23:02,6
Joomla,AddUser,Manual,2025-09-21 11:23:04,2025-09-21 11:23:20,15
Joomla,BadLogin,Manual,2025-09-21 11:23:23,2025-09-21 11:23:28,5
Joomla,LoginAsNewUser,Manual,2025-09-21 11:23:30,2025-09-21 11:23:34,4
ExpressCart,SearchProductTest,AI-Assisted,2025-09-21 11:23:37,2025-09-21 11:23:39,2
ExpressCart,AddNewProdToCartTest,AI-Assisted,2025-09-21 11:23:42,2025-09-21 11:23:43,1
ExpressCart,AddProductTest,AI-Assisted,2025-09-21 11:23:45,2025-09-21 11:23:52,6
ExpressCart,AddEmptyProductTest,AI-Assisted,2025-09-21 11:23:54,2025-09-21 11:23:58,4
ExpressCart,AddEmptyReviewTest,AI-Assisted,2025-09-21 11:24:01,2025-09-21 11:24:07,6
ExpressCart,AddReviewTest,AI-Assisted,2025-09-21 11:24:09,2025-09-21 11:24:21,12
ExpressCart,AddUserTest,AI-Assisted,2025-09-21 11:24:24,2025-09-21 11:24:35,11
ExpressCart,LoginUserTest,AI-Assisted,2025-09-21 11:24:37,2025-09-21 11:24:41,3
ExpressCart,AddEmptyUserTest,AI-Assisted,2025-09-21 11:24:43,2025-09-21 11:24:48,4
ExpressCart,AddExistingUserFailsTest,AI-Assisted,2025-09-21 11:24:50,2025-09-21 11:24:57,6
Kanboard,AddNewCategory,AI-Assisted,2025-09-21 11:24:59,2025-09-21 11:24:59,0
Kanboard,AddEmptySwimlane,AI-Assisted,2025-09-21 11:25:02,2025-09-21 11:25:03,0
Kanboard,AddNewSwimlane,AI-Assisted,2025-09-21 11:25:05,2025-09-21 11:25:05,0
Kanboard,EditProject,AI-Assisted,2025-09-21 11:25:08,2025-09-21 11:25:08,0
Kanboard,AddNewColumn,AI-Assisted,2025-09-21 11:25:11,2025-09-21 11:25:11,0
Kanboard,AddEmptyColumn,AI-Assisted,2025-09-21 11:25:14,2025-09-21 11:25:15,0
Kanboard,AddNewProject,AI-Assisted,2025-09-21 11:25:17,2025-09-21 11:25:18,0
Kanboard,AddEmptyProject,AI-Assisted,2025-09-21 11:25:20,2025-09-21 11:25:20,0
Kanboard,AddNewTask,AI-Assisted,2025-09-21 11:25:23,2025-09-21 11:25:24,1
Kanboard,AddEmptyTask,AI-Assisted,2025-09-21 11:25:30,2025-09-21 11:25:31,0
MediaWiki,CreatePageTest,Manual,2025-09-21 11:49:20,2025-09-21 11:49:26,5
MediaWiki,CreateAndLinkPageTest,Manual,2025-09-21 11:49:28,2025-09-21 11:49:32,3
MediaWiki,EditPageTest,Manual,2025-09-21 11:49:34,2025-09-21 11:49:38,3
MediaWiki,CreateTemplateTest,Manual,2025-09-21 11:49:40,2025-09-21 11:49:44,3
MediaWiki,CreatePageFromSourceTest,Manual,2025-09-21 11:49:47,2025-09-21 11:49:50,3
MediaWiki,ApplyTemplateTest,Manual,2025-09-21 11:49:53,2025-09-21 11:49:56,3
MediaWiki,AddCategoryTest,Manual,2025-09-21 11:49:59,2025-09-21 11:50:03,3
MediaWiki,CreateEmptyUser_Fails,Manual,2025-09-21 11:50:05,2025-09-21 11:50:12,6
MediaWiki,CreateUserTest,Manual,2025-09-21 11:50:15,2025-09-21 11:50:21,5
MediaWiki,SearchPageTest,Manual,2025-09-21 11:50:23,2025-09-21 11:50:30,7
Joomla,AddNewArticle,Manual,2025-09-21 11:50:33,2025-09-21 11:50:41,7
Joomla,AddEmptyArticle,Manual,2025-09-21 11:50:43,2025-09-21 11:50:49,6
Joomla,EditArticle,Manual,2025-09-21 11:50:51,2025-09-21 11:50:59,8
Joomla,BadSiteAdminLogin,Manual,2025-09-21 11:51:02,2025-09-21 11:51:15,12
Joomla,AdminLoginTest,Manual,2025-09-21 11:51:17,2025-09-21 11:51:21,4
Joomla,EmptySiteAdminLogin,Manual,2025-09-21 11:51:24,2025-09-21 11:51:35,11
Joomla,EmptyLogin,Manual,2025-09-21 11:51:38,2025-09-21 11:51:45,6
Joomla,AddUser,Manual,2025-09-21 11:51:47,2025-09-21 11:52:08,20
Joomla,BadLogin,Manual,2025-09-21 11:52:10,2025-09-21 11:52:15,5
Joomla,LoginAsNewUser,Manual,2025-09-21 11:52:18,2025-09-21 11:52:22,4
ExpressCart,SearchProductTest,AI-Assisted,2025-09-21 11:52:25,2025-09-21 11:52:27,2
ExpressCart,AddNewProdToCartTest,AI-Assisted,2025-09-21 11:52:29,2025-09-21 11:52:33,3
ExpressCart,AddProductTest,AI-Assisted,2025-09-21 11:52:35,2025-09-21 11:52:41,6
ExpressCart,AddEmptyProductTest,AI-Assisted,2025-09-21 11:52:44,2025-09-21 11:52:48,4
ExpressCart,AddEmptyReviewTest,AI-Assisted,2025-09-21 11:52:50,2025-09-21 11:52:57,6
ExpressCart,AddReviewTest,AI-Assisted,2025-09-21 11:52:59,2025-09-21 11:53:08,8
ExpressCart,AddUserTest,AI-Assisted,2025-09-21 11:53:10,2025-09-21 11:53:17,6
ExpressCart,LoginUserTest,AI-Assisted,2025-09-21 11:53:19,2025-09-21 11:53:23,3
ExpressCart,AddEmptyUserTest,AI-Assisted,2025-09-21 11:53:25,2025-09-21 11:53:30,5
ExpressCart,AddExistingUserFailsTest,AI-Assisted,2025-09-21 11:53:32,2025-09-21 11:53:39,6
Kanboard,AddNewCategory,AI-Assisted,2025-09-21 11:53:41,2025-09-21 11:53:54,12
Kanboard,AddEmptySwimlane,AI-Assisted,2025-09-21 11:53:56,2025-09-21 11:54:09,12
Kanboard,AddNewSwimlane,AI-Assisted,2025-09-21 11:54:11,2025-09-21 11:54:23,12
Kanboard,EditProject,AI-Assisted,2025-09-21 11:54:26,2025-09-21 11:54:38,12
Kanboard,AddNewColumn,AI-Assisted,2025-09-21 11:54:41,2025-09-21 11:54:53,12
Kanboard,AddEmptyColumn,AI-Assisted,2025-09-21 11:54:56,2025-09-21 11:55:08,12
Kanboard,AddNewProject,AI-Assisted,2025-09-21 11:55:11,2025-09-21 11:55:16,5
Kanboard,AddEmptyProject,AI-Assisted,2025-09-21 11:55:19,2025-09-21 11:55:26,7
Kanboard,AddNewTask,AI-Assisted,2025-09-21 11:55:29,2025-09-21 11:55:37,8
Kanboard,AddEmptyTask,AI-Assisted,2025-09-21 11:55:40,2025-09-21 11:55:46,5
ExpressCart,AddProductTest,AI-Assisted,2025-09-21 12:02:02,2025-09-21 12:02:14,11
ExpressCart,AddEmptyProductTest,AI-Assisted,2025-09-21 12:02:18,2025-09-21 12:02:26,7
ExpressCart,AddProductTest,AI-Assisted,2025-09-21 12:04:59,2025-09-21 12:05:09,10
ExpressCart,AddEmptyProductTest,AI-Assisted,2025-09-21 12:05:12,2025-09-21 12:05:19,6
ExpressCart,AddEmptyReviewTest,AI-Assisted,2025-09-21 12:05:48,2025-09-21 12:05:58,9
ExpressCart,AddReviewTest,AI-Assisted,2025-09-21 12:06:01,2025-09-21 12:06:17,15
ExpressCart,SearchProductTest,AI-Assisted,2025-09-21 12:06:36,2025-09-21 12:06:39,3
ExpressCart,AddNewProdToCartTest,AI-Assisted,2025-09-21 12:06:42,2025-09-21 12:06:47,4
ExpressCart,AddUserTest,AI-Assisted,2025-09-21 12:07:08,2025-09-21 12:07:18,10
ExpressCart,LoginUserTest,AI-Assisted,2025-09-21 12:07:22,2025-09-21 12:07:27,5
ExpressCart,AddEmptyUserTest,AI-Assisted,2025-09-21 12:07:30,2025-09-21 12:07:37,6
ExpressCart,AddExistingUserFailsTest,AI-Assisted,2025-09-21 12:07:40,2025-09-21 12:07:49,9
Joomla,BadSiteAdminLogin,Manual,2025-09-21 12:08:15,2025-09-21 12:08:31,15
Joomla,AdminLoginTest,Manual,2025-09-21 12:08:34,2025-09-21 12:08:41,6
Joomla,EmptySiteAdminLogin,Manual,2025-09-21 12:08:44,2025-09-21 12:08:58,13
Joomla,AddNewArticle,Manual,2025-09-21 12:10:41,2025-09-21 12:10:52,11
Joomla,AddEmptyArticle,Manual,2025-09-21 12:10:56,2025-09-21 12:11:05,9
Joomla,EditArticle,Manual,2025-09-21 12:11:09,2025-09-21 12:11:21,12
Joomla,EmptyLogin,Manual,2025-09-21 12:11:40,2025-09-21 12:11:48,8
Joomla,AddUser,Manual,2025-09-21 12:11:54,2025-09-21 12:12:19,25
Joomla,BadLogin,Manual,2025-09-21 12:12:23,2025-09-21 12:12:29,6
Joomla,LoginAsNewUser,Manual,2025-09-21 12:12:33,2025-09-21 12:12:39,6
Kanboard,AddNewProject,AI-Assisted,2025-09-21 12:13:19,2025-09-21 12:13:26,6
Kanboard,AddEmptyProject,AI-Assisted,2025-09-21 12:13:29,2025-09-21 12:13:39,9
Kanboard,AddNewCategory,AI-Assisted,2025-09-21 12:14:46,2025-09-21 12:14:54,7
Kanboard,AddNewColumn,AI-Assisted,2025-09-21 12:15:12,2025-09-21 12:15:21,8
Kanboard,AddEmptyColumn,AI-Assisted,2025-09-21 12:15:25,2025-09-21 12:15:32,7
Kanboard,EditProject,AI-Assisted,2025-09-21 12:15:53,2025-09-21 12:16:02,8
Kanboard,AddEmptySwimlane,AI-Assisted,2025-09-21 12:16:24,2025-09-21 12:16:32,7
Kanboard,AddNewSwimlane,AI-Assisted,2025-09-21 12:16:35,2025-09-21 12:16:44,8
Kanboard,AddNewTask,AI-Assisted,2025-09-21 12:17:04,2025-09-21 12:17:15,10
Kanboard,AddEmptyTask,AI-Assisted,2025-09-21 12:17:18,2025-09-21 12:17:26,7
ExpressCart,SearchProductTest,AI-Assisted,2025-09-22 14:48:28,2025-09-22 14:48:31,2
ExpressCart,AddNewProdToCartTest,AI-Assisted,2025-09-22 14:48:34,2025-09-22 14:48:35,1
ExpressCart,AddProductTest,AI-Assisted,2025-09-22 14:48:37,2025-09-22 14:48:44,7
ExpressCart,AddEmptyProductTest,AI-Assisted,2025-09-22 14:48:47,2025-09-22 14:48:52,4
ExpressCart,AddEmptyReviewTest,AI-Assisted,2025-09-22 14:48:54,2025-09-22 14:49:01,6
ExpressCart,AddReviewTest,AI-Assisted,2025-09-22 14:49:04,2025-09-22 14:49:16,12
ExpressCart,AddUserTest,AI-Assisted,2025-09-22 14:49:19,2025-09-22 14:49:26,7
ExpressCart,LoginUserTest,AI-Assisted,2025-09-22 14:49:28,2025-09-22 14:49:32,3
ExpressCart,AddEmptyUserTest,AI-Assisted,2025-09-22 14:49:35,2025-09-22 14:49:40,5
ExpressCart,AddExistingUserFailsTest,AI-Assisted,2025-09-22 14:49:42,2025-09-22 14:49:49,6
ExpressCart,SearchProductTest,AI-Assisted,2025-09-22 14:53:40,2025-09-22 14:53:42,2
ExpressCart,AddNewProdToCartTest,AI-Assisted,2025-09-22 14:53:45,2025-09-22 14:53:46,1
ExpressCart,AddProductTest,AI-Assisted,2025-09-22 14:53:48,2025-09-22 14:53:50,2
ExpressCart,AddEmptyProductTest,AI-Assisted,2025-09-22 14:53:54,2025-09-22 14:53:58,4
ExpressCart,AddProductTest,AI-Assisted,2025-09-22 14:58:52,2025-09-22 14:58:59,7
ExpressCart,AddEmptyProductTest,AI-Assisted,2025-09-22 14:59:01,2025-09-22 14:59:06,4
ExpressCart,AddEmptyReviewTest,AI-Assisted,2025-09-22 14:59:09,2025-09-22 14:59:16,6
ExpressCart,AddReviewTest,AI-Assisted,2025-09-22 14:59:18,2025-09-22 14:59:31,12
ExpressCart,SearchProductTest,AI-Assisted,2025-09-22 14:59:33,2025-09-22 14:59:36,2
ExpressCart,AddNewProdToCartTest,AI-Assisted,2025-09-22 14:59:38,2025-09-22 14:59:41,3
ExpressCart,AddUserTest,AI-Assisted,2025-09-22 14:59:44,2025-09-22 14:59:51,6
ExpressCart,LoginUserTest,AI-Assisted,2025-09-22 14:59:53,2025-09-22 14:59:57,3
ExpressCart,AddEmptyUserTest,AI-Assisted,2025-09-22 15:00:00,2025-09-22 15:00:05,5
ExpressCart,AddExistingUserFailsTest,AI-Assisted,2025-09-22 15:00:07,2025-09-22 15:00:14,7
Joomla,BadSiteAdminLogin,Manual,2025-09-22 15:06:15,2025-09-22 15:06:29,13
Joomla,AdminLoginTest,Manual,2025-09-22 15:06:32,2025-09-22 15:06:37,4
Joomla,EmptySiteAdminLogin,Manual,2025-09-22 15:06:40,2025-09-22 15:06:52,12
Joomla,AddNewArticle,Manual,2025-09-22 15:06:55,2025-09-22 15:07:03,7
Joomla,AddEmptyArticle,Manual,2025-09-22 15:07:08,2025-09-22 15:07:14,6
Joomla,EditArticle,Manual,2025-09-22 15:07:17,2025-09-22 15:07:25,8
Joomla,EmptyLogin,Manual,2025-09-22 15:07:28,2025-09-22 15:07:35,7
Joomla,AddUser,Manual,2025-09-22 15:07:37,2025-09-22 15:07:54,16
Joomla,BadLogin,Manual,2025-09-22 15:07:56,2025-09-22 15:08:01,5
Joomla,LoginAsNewUser,Manual,2025-09-22 15:08:04,2025-09-22 15:08:08,4
Kanboard,AddNewProject,AI-Assisted,2025-09-22 15:10:15,2025-09-22 15:10:20,5
Kanboard,AddEmptyProject,AI-Assisted,2025-09-22 15:10:22,2025-09-22 15:10:30,8
Kanboard,AddNewCategory,AI-Assisted,2025-09-22 15:10:33,2025-09-22 15:10:39,5
Kanboard,AddNewColumn,AI-Assisted,2025-09-22 15:10:41,2025-09-22 15:10:48,6
Kanboard,AddEmptyColumn,AI-Assisted,2025-09-22 15:10:50,2025-09-22 15:10:57,6
Kanboard,EditProject,AI-Assisted,2025-09-22 15:10:59,2025-09-22 15:11:05,5
Kanboard,AddEmptySwimlane,AI-Assisted,2025-09-22 15:11:07,2025-09-22 15:11:14,6
Kanboard,AddNewSwimlane,AI-Assisted,2025-09-22 15:11:16,2025-09-22 15:11:22,6
Kanboard,AddNewTask,AI-Assisted,2025-09-22 15:11:25,2025-09-22 15:11:34,9
Kanboard,AddEmptyTask,AI-Assisted,2025-09-22 15:11:37,2025-09-22 15:11:43,6
